zaman_damgasi,deprem_hissetti_mi,binada_miydi,bina_yasi,ilce,mahalle,kat_sayisi,hasar_durumu,yumusak_kat,kapali_cikma,nizami_duzende_mi,simetrik_yapi_mi,asma_kat,fay_uzakligi_km,fay_risk_kategorisi,hasar_skor
20.10.2025 19:04:47,Evet,Evet,11-20,İskenderun,İsmet İnönü mahallesi ,5,Az Hasarlı,Hayır,Hayır,Hayır Nizami Bir Düzende Değildi,Evet kare veya dikdörtgen bir yapıdaydı,,5.680522719587418,Yakın (5-10km),1
20.10.2025 19:07:43,Evet,Evet,11-20,İskenderun,Sakarya mh ,10,Az Hasarlı,Hayır,Hayır,Hayır Nizami Bir Düzende Değildi,Evet kare veya dikdörtgen bir yapıdaydı,,5.975497618807532,Yakın (5-10km),1
20.10.2025 19:14:21,Evet,Evet,11-20,İskenderun,Numune mahallesi ,7,Az Hasarlı,Hayır,Hayır,Evet Nizami Bir Düzendeydi,Evet kare veya dikdörtgen bir yapıdaydı,,5.469852237701975,Yakın (5-10km),1
20.10.2025 19:15:37,Evet,Evet,0-5,İskenderun,Mehmet Akif Ersoy caddesi ,5,Az Hasarlı,Evet,Hayır,Evet Nizami Bir Düzendeydi,Evet kare veya dikdörtgen bir yapıdaydı,,5.962665819671988,Yakın (5-10km),1
20.10.2025 19:17:05,Evet,Evet,6-10,Arsuz,Karahüseyinli ,2,Hasarsız,Hayır,Hayır,Hayır Nizami Bir Düzende Değildi,Evet kare veya dikdörtgen bir yapıdaydı,,22.623847081655597,Çok Uzak (20+km),0
20.10.2025 19:19:57,Evet,Evet,0-5,Dörtyol,Yeşil,6,Az Hasarlı,Hayır,Hayır,Hayır Nizami Bir Düzende Değildi,Evet kare veya dikdörtgen bir yapıdaydı,,12.837456397186486,Orta (10-15km),1
20.10.2025 19:22:13,Evet,Evet,11-20,İskenderun,Modernevler ,5,Az Hasarlı,Hayır,Hayır,Evet Nizami Bir Düzendeydi,Evet kare veya dikdörtgen bir yapıdaydı,,5.554117842698117,Yakın (5-10km),1
20.10.2025 19:22:56,Evet,Evet,6-10,Arsuz,Karaağaç cumhuriyet ,10,Orta Hasarlı,Hayır,Hayır,Hayır Nizami Bir Düzende Değildi,Hayır asimetrik bir yapıdaydı,,6.43815397902701,Yakın (5-10km),2
20.10.2025 19:23:52,Evet,Evet,6-10,İskenderun,Nardüzü ,5,Az Hasarlı,Hayır,Hayır,Hayır Nizami Bir Düzende Değildi,Evet kare veya dikdörtgen bir yapıdaydı,,6.734198497974012,Yakın (5-10km),1
20.10.2025 19:27:02,Evet,Evet,11-20,İskenderun,Yunus Emre ,4,Az Hasarlı,Hayır,Hayır,Hayır Nizami Bir Düzende Değildi,Evet kare veya dikdörtgen bir yapıdaydı,,5.891214764203114,Yakın (5-10km),1
20.10.2025 19:29:04,Evet,Evet,30+,İskenderun,Denizciler ,2,Az Hasarlı,Hayır,Hayır,Hayır Nizami Bir Düzende Değildi,Evet kare veya dikdörtgen bir yapıdaydı,,5.933023599631272,Yakın (5-10km),1
20.10.2025 19:31:31,Evet,Evet,6-10,Arsuz,Karaağaç konarlı,4,Hasarsız,Evet,Evet,Evet Nizami Bir Düzendeydi,Evet kare veya dikdörtgen bir yapıdaydı,,7.155819647615025,Yakın (5-10km),0
20.10.2025 19:36:44,Evet,Evet,11-20,Arsuz,Konarli,10,Orta Hasarlı,Hayır,Hayır,Evet Nizami Bir Düzendeydi,Hayır asimetrik bir yapıdaydı,,22.720453012115772,Çok Uzak (20+km),2
20.10.2025 19:39:00,Evet,Evet,11-20,Defne,Gümüşgöze ,2,Az Hasarlı,Hayır,Hayır,Hayır Nizami Bir Düzende Değildi,Hayır asimetrik bir yapıdaydı,,6.541555393755758,Yakın (5-10km),1
20.10.2025 19:46:07,Evet,Evet,6-10,Antakya,Saraykent,5,Ağır Hasarlı,Hayır,Hayır,Evet Nizami Bir Düzendeydi,Evet kare veya dikdörtgen bir yapıdaydı,,9.28637550170412,Yakın (5-10km),3
20.10.2025 19:47:01,Evet,Evet,0-5,Arsuz,Karaağaç ovunduk mahallesi ,10,Orta Hasarlı,Hayır,Hayır,Evet Nizami Bir Düzendeydi,Evet kare veya dikdörtgen bir yapıdaydı,,21.921989979563325,Çok Uzak (20+km),2
20.10.2025 19:47:12,Evet,Evet,30+,Defne,değirmenyolu,2,Ağır Hasarlı,Hayır,Hayır,Hayır Nizami Bir Düzende Değildi,Hayır asimetrik bir yapıdaydı,,6.752229960080688,Yakın (5-10km),3
20.10.2025 19:47:14,Evet,Evet,11-20,Antakya,Akevler,4,Ağır Hasarlı,Hayır,Hayır,Hayır Nizami Bir Düzende Değildi,Evet kare veya dikdörtgen bir yapıdaydı,,8.865168343776528,Yakın (5-10km),3
20.10.2025 19:55:35,Evet,Evet,21-30,İskenderun,Dumlupınar,3,Hasarsız,Hayır,Evet,Hayır Nizami Bir Düzende Değildi,Evet kare veya dikdörtgen bir yapıdaydı,,6.312663527229342,Yakın (5-10km),0
20.10.2025 19:58:49,Evet,Evet,11-20,İskenderun,numune,3,Az Hasarlı,Evet,Evet,Hayır Nizami Bir Düzende Değildi,Evet kare veya dikdörtgen bir yapıdaydı,,5.469852237701975,Yakın (5-10km),1
20.10.2025 20:02:51,Evet,Evet,6-10,İskenderun,İsmet inönü,5,Az Hasarlı,Hayır,Evet,Hayır Nizami Bir Düzende Değildi,Evet kare veya dikdörtgen bir yapıdaydı,,5.962665819671988,Yakın (5-10km),1
20.10.2025 20:07:54,Evet,Evet,0-5,Arsuz,Öğündük,10,Orta Hasarlı,Hayır,Hayır,Evet Nizami Bir Düzendeydi,Evet kare veya dikdörtgen bir yapıdaydı,,22.345845975690295,Çok Uzak (20+km),2
20.10.2025 20:09:26,Evet,Evet,6-10,Arsuz,Karağaç ,10,Orta Hasarlı,Evet,Hayır,Evet Nizami Bir Düzendeydi,Evet kare veya dikdörtgen bir yapıdaydı,,22.720453012115772,Çok Uzak (20+km),2
20.10.2025 20:14:27,Evet,Evet,30+,Samandağ,Tomruksuyu mahallesi ,3,Ağır Hasarlı,Hayır,Hayır,Hayır Nizami Bir Düzende Değildi,Evet kare veya dikdörtgen bir yapıdaydı,,2.113402136462932,Çok Yakın (0-5km),3
20.10.2025 20:14:33,Evet,Evet,6-10,İskenderun,Konarlı,10,Az Hasarlı,Hayır,Hayır,Evet Nizami Bir Düzendeydi,Hayır asimetrik bir yapıdaydı,,7.155819647615025,Yakın (5-10km),1
20.10.2025 20:16:36,Evet,Evet,11-20,İskenderun,Yunus Emre ,4,Az Hasarlı,Hayır,Hayır,Evet Nizami Bir Düzendeydi,Evet kare veya dikdörtgen bir yapıdaydı,,5.891214764203114,Yakın (5-10km),1
20.10.2025 20:19:25,Evet,Evet,0-5,Arsuz,Nardüzü,10,Az Hasarlı,Hayır,Hayır,Hayır Nizami Bir Düzende Değildi,Evet kare veya dikdörtgen bir yapıdaydı,,6.734198497974012,Yakın (5-10km),1
20.10.2025 20:34:36,Evet,Evet,0-5,İskenderun,Mustafa kemal ,10,Az Hasarlı,Evet,Hayır,Evet Nizami Bir Düzendeydi,Evet kare veya dikdörtgen bir yapıdaydı,,6.101928367950118,Yakın (5-10km),1
20.10.2025 20:35:13,Evet,Evet,11-20,İskenderun,Numune mahallesi ,4,Hasarsız,Hayır,Hayır,Evet Nizami Bir Düzendeydi,Evet kare veya dikdörtgen bir yapıdaydı,,5.469852237701975,Yakın (5-10km),0
20.10.2025 20:39:29,Evet,Evet,6-10,İskenderun,İsmet İnönü ,5,Az Hasarlı,Evet,Evet,Evet Nizami Bir Düzendeydi,Evet kare veya dikdörtgen bir yapıdaydı,,5.680522719587418,Yakın (5-10km),1
20.10.2025 21:10:56,Evet,Evet,11-20,İskenderun,Mustafa Kemal mah.,7,Az Hasarlı,Hayır,Hayır,Hayır Nizami Bir Düzende Değildi,Evet kare veya dikdörtgen bir yapıdaydı,,6.101928367950118,Yakın (5-10km),1
20.10.2025 21:16:46,Evet,Evet,6-10,Arsuz,Karaağaç ,10,Az Hasarlı,Hayır,Hayır,Hayır Nizami Bir Düzende Değildi,Hayır asimetrik bir yapıdaydı,,21.921989979563325,Çok Uzak (20+km),1
20.10.2025 21:30:19,Evet,Evet,21-30,Antakya,Karlısu Mahallesi,2,Az Hasarlı,Hayır,Hayır,Hayır Nizami Bir Düzende Değildi,Hayır asimetrik bir yapıdaydı,,8.865987045226568,Yakın (5-10km),1
20.10.2025 21:38:46,Evet,Evet,0-5,Belen,Sarımazı,4,Hasarsız,Hayır,Evet,Hayır Nizami Bir Düzende Değildi,Evet kare veya dikdörtgen bir yapıdaydı,,0.42110314457339804,Çok Yakın (0-5km),0
